iteration,mean_reward,policy_loss,value_loss,entropy,seconds
0,-0.02516762452107272,0.0020652633684221655,1.1388809941709042,4.268571123480797,2.8736023902893066
1,-0.015081521739130355,0.0076585953938774765,1.1163854459300637,4.277083590626717,2.967872142791748
2,-0.030740248226950248,0.00142593466443941,0.9474206548184156,4.297196239233017,2.855807065963745
3,-0.012639776357827414,-0.010457540745846927,0.9946566242724657,4.302887856960297,2.9553256034851074
4,0.00016025641025651778,0.005723125243093818,1.14170097745955,4.3032466173172,2.934884786605835
5,0.01704119850187294,0.002154009882360697,1.269562728703022,4.318413630127907,2.9212353229522705
6,0.02877747252747287,6.970588583499193e-05,1.1792076490819454,4.332328408956528,3.045663833618164
7,0.022495644599303477,-0.00410948257194832,1.0298832319676876,4.332296714186668,2.936380624771118
8,0.02560289389067557,-0.0005712428246624768,1.0445995554327965,4.320711866021156,2.89762282371521
9,0.03950892857142894,-0.005879580043256283,1.172315439209342,4.317474976181984,2.8959572315216064
10,0.05943877551020441,-0.005552979419007897,1.2022154796868563,4.310801550745964,2.8847668170928955
11,0.06332752613240408,-0.0044740691664628685,1.3615655284374952,4.313944950699806,2.9159703254699707
12,0.07233455882352942,-0.006030028220266104,1.4454745594412088,4.31858329474926,2.9134364128112793
13,0.11945224719101064,0.0017718232702463865,2.4107795543968678,4.309439107775688,2.8897593021392822
14,0.06814983443708597,-0.0019071369897574186,1.6861434988677502,4.288581877946854,3.013282537460327
15,0.11626297577854627,-0.005564965307712555,3.4054230004549026,4.285721004009247,3.034470558166504
16,0.06916830708661377,-0.0029395114979706705,2.7226681523025036,4.280200347304344,2.970670461654663
17,0.03816318327974277,0.026170092460233718,1.294819911941886,4.269763097167015,2.975621461868286
18,0.10851868327402109,0.00908735767006874,1.845827642828226,4.248605832457542,3.0025503635406494
19,0.007511467889908472,0.028197249281220138,1.1667256085202098,4.240274667739868,3.032310962677002
20,0.009521028037383403,-0.002009842894040048,0.7448890786617994,4.252227827906609,2.958289861679077
21,0.1253605769230768,0.015905356383882463,2.9333322271704674,4.249293699860573,2.974961519241333
22,-0.024395161290322362,0.007152417907491326,2.160326696932316,4.220219388604164,2.939154624938965
23,0.023789612676056546,0.004456141265109181,1.4868610640987754,4.206068903207779,2.914327383041382
24,0.08533302919707986,0.011737348977476358,1.9597943481057882,4.196458250284195,2.8728880882263184
25,0.044230769230768845,-0.000276989012490958,1.346241612918675,4.214246913790703,2.9832875728607178
26,0.02159533073929982,0.0021813312196172774,1.2356717716902494,4.2253173887729645,2.867879867553711
27,0.0004823151125403892,0.0005449135787785053,0.6276245601475239,4.22949543595314,2.8771185874938965
28,-0.02415048543689298,0.004818289016839117,0.8917559748515487,4.2317798882722855,2.9156084060668945
29,-0.0029503105590059295,0.0016656399238854647,0.7470146808773279,4.241333559155464,2.9910035133361816
30,0.005932203389830823,-0.005234260694123805,0.860292449593544,4.2476144433021545,2.900764226913452
31,0.015313653136531649,-0.0007973596802912652,0.8741948436945677,4.248067691922188,2.9089038372039795
32,0.012410071942446357,-0.007544797728769481,1.2446523364633322,4.2649446576833725,2.9954442977905273
33,0.008506944444444756,-0.002067950670607388,0.8912862576544285,4.265133813023567,2.8639416694641113
34,-0.003719190140844794,-0.0003410708159208298,0.7988341227173805,4.284303620457649,2.873582363128662
35,-0.009507722007721764,0.002281532040797174,0.6040619360283017,4.295737832784653,2.8554580211639404
36,-0.02213455149501639,0.014222151890862733,0.9070444484241307,4.288558706641197,2.9380722045898438
37,0.010424028268551568,-0.0019475967856124043,0.9506018152460456,4.281440868973732,3.0382230281829834
38,-0.02239238410596004,-0.0021870474447496235,0.6524304021149874,4.266197860240936,3.012796401977539
39,-0.03915498442367579,0.001572001667227596,0.7466828371398151,4.250298276543617,2.948183298110962
40,-0.006357020547944938,0.0014208218199200928,1.1572015583515167,4.253878086805344,3.129298210144043
41,0.03196790540540551,-0.0015523256151936948,1.3735954780131578,4.281132861971855,3.0367584228515625
42,0.0001602564102566635,0.00044887070544064045,0.7586993696168065,4.288293361663818,3.009625196456909
43,0.006292517006803021,-0.008462482248432934,0.9008813193067908,4.287415221333504,2.922645092010498
44,-0.014816978193146197,-0.004133214999455959,0.5849072458222508,4.271697625517845,2.9638051986694336
45,-0.031227992957746253,-0.0009941165917553008,0.9972396893426776,4.258579209446907,2.853201150894165
46,-0.00945778145695339,-0.001311523374170065,0.9892939273267984,4.245983988046646,2.8829522132873535
47,-0.03679207119741078,-0.0012632498983293772,0.8088231924921274,4.224146381020546,2.9843132495880127
48,-0.018132485029939964,-0.0043142024660483,0.8867051629349589,4.21295166015625,3.6405630111694336
49,-0.01833623693379769,-0.005491328542120755,0.9555411720648408,4.230655312538147,3.294464111328125
50,-0.008549331103678679,-0.0006538810557685792,0.8694118475541472,4.246647730469704,3.1053740978240967
51,-0.013514760147601241,0.0008865013951435685,0.6990215247496963,4.253613859415054,2.9882216453552246
52,0.003968631178707525,-0.00023209938080981374,0.8817617041058838,4.268361926078796,3.020310640335083
53,-0.023904220779220553,-0.009039821801707149,0.7747360141947865,4.281543552875519,3.0723354816436768
54,-0.001993727598566028,-0.002035842859186232,0.7236329643055797,4.281176835298538,3.283073902130127
55,-0.010641339869280805,-0.0006792991189286113,0.6257088650017977,4.278329432010651,3.1835882663726807
56,-0.015081521739130205,0.0017733049462549388,0.7567754248157144,4.288781866431236,3.1583340167999268
57,0.0041666666666669815,0.004777410445967689,0.7832035822793841,4.29875148832798,3.0921692848205566
58,0.009649122807017754,0.004953237483277917,1.1108542941510677,4.301062628626823,3.113327741622925
59,-0.015081521739130369,-0.005999818968120962,0.5246359696611762,4.288863494992256,3.1861777305603027
60,-0.022648514851484926,-0.0006924692424945533,0.5135053363628685,4.284439265727997,3.0947372913360596
61,0.00888501742160287,0.016145387839060277,1.1155547015368938,4.283346548676491,3.112790822982788
62,0.037061403508772295,-0.004597158927936107,1.6322770435363054,4.2995525598526,2.941669464111328
63,-0.003378975265017599,0.0010721799917519093,0.8861575722694397,4.329935327172279,3.1237635612487793
64,-0.006156156156155951,-0.010338148567825556,0.7543600425124168,4.3302483558654785,3.187481164932251
65,0.002796052631579247,-0.0017874836339615285,0.9820543918758631,4.318842381238937,3.117964267730713
66,-0.00945778145695339,-0.004646851914003491,0.7569808149710298,4.29623481631279,3.3345038890838623
67,0.003968631178707525,-0.009792300494154915,0.7928496832028031,4.282481834292412,3.033862829208374
68,-0.014816978193146391,-0.0072019100189208984,0.6165273254737258,4.291698768734932,3.1695351600646973
69,-0.01833623693379769,0.002362840110436082,0.7403803300112486,4.296988487243652,3.035794973373413
70,0.006811523437500315,-0.004851116333156824,1.1770115904510021,4.295958757400513,3.003115177154541
71,-0.00439248251748224,-0.0029825157835148275,0.7811331516131759,4.293472707271576,3.052990436553955
72,0.0055743243243246456,-0.006905296293552965,0.7549409586936235,4.288391247391701,3.047739028930664
73,-0.010641339869280791,-0.010640925727784634,0.6302979458123446,4.278475672006607,3.0960376262664795
74,-0.005873493975903392,-0.011379318020772189,0.7203626278787851,4.276121184229851,3.1763925552368164
75,-0.006156156156156057,-0.00038014655001461506,1.0199481751769781,4.269242286682129,3.157644271850586
76,0.004765325670498345,0.009887305088341236,0.9491528477519751,4.264788463711739,3.048666000366211
77,0.023355263157895052,-0.0029056041967123747,1.0158458556979895,4.256738990545273,3.0670979022979736
78,0.0041666666666669815,0.00022038319730199873,0.9026833772659302,4.267874076962471,3.196903944015503
79,-0.0026479750778813913,-0.00573238282231614,0.7187007144093513,4.282813638448715,3.1140873432159424
80,0.020811855670103307,0.0008936307276599109,0.9579252768307924,4.276336520910263,3.0946719646453857
81,0.027239413680782004,-0.0010938909836113453,1.0126973930746317,4.274466022849083,3.035252571105957
82,0.018771114864865233,0.0067984857596457005,1.0496077165007591,4.2843082547187805,2.9557971954345703
83,0.008506944444444614,-0.014859511924441904,1.0088719874620438,4.298003703355789,2.919217109680176
84,0.045755597014925736,0.00407818412350025,1.3166297767311335,4.293116793036461,2.9074974060058594
85,0.005932203389830816,-0.0004202504060231149,0.847325386479497,4.28789621591568,2.9562296867370605
86,0.033167613636364,-0.002582308021374047,0.9411031473428011,4.290687203407288,2.885241746902466
87,0.002028917910448066,0.015555132762528956,0.8351237075403333,4.284926772117615,2.916191816329956
88,-0.001993727598566035,-3.5035423934459686e-05,0.6528067020699382,4.298401743173599,3.0014395713806152
89,0.027840909090909145,-0.01018260745331645,0.8471398260444403,4.302823901176453,2.9693546295166016
90,-0.005015197568388836,-0.00530424970202148,0.720971348695457,4.307926207780838,3.209338665008545
91,0.00893924302788866,-0.005822881648782641,0.8376431008800864,4.314458936452866,3.199962615966797
92,0.008885017421603105,-0.004230899037793279,0.6814430700615048,4.304139360785484,3.1114883422851562
93,0.05721749226006226,0.013120479590725154,1.2995782736688852,4.294884845614433,3.199738025665283
94,-0.011508899676375162,-0.0034995993482880294,0.6522238375619054,4.3065690994262695,3.043671131134033
95,-0.009756600660065756,-0.009012240334413946,0.5611646259203553,4.324538543820381,3.0495822429656982
96,-0.0030363475177302285,0.02452650072518736,0.6172177121043205,4.3188135623931885,2.997598171234131
97,0.015740740740741103,0.0050505949184298515,1.059011509642005,4.3141898810863495,2.9980618953704834
98,-0.0009284420289852187,0.004251579754054546,0.5463182087987661,4.292957782745361,2.9700303077697754
99,-0.012917993630573008,-0.009999115485697985,0.5379313477315009,4.284774914383888,3.0442516803741455
100,0.006811523437500267,0.006258006964344531,0.7496183784678578,4.276579111814499,2.953704357147217
101,-0.01833623693379769,-0.003948692348785698,0.5959227969869971,4.276185989379883,2.978059768676758
102,-0.013514760147601241,-0.005218325182795525,0.44161080103367567,4.266554281115532,2.9181673526763916
103,0.010424028268551568,-0.004650674032745883,0.7485960805788636,4.260769113898277,3.091012716293335
104,0.011253955696202876,-0.015361886995378882,1.1583131309598684,4.254756599664688,3.070990562438965
105,0.008506944444444756,-0.011360741802491248,0.7499644504860044,4.261693790555,3.0232458114624023
106,-0.015692446043165234,-0.002206843055319041,0.5251106470823288,4.277529612183571,2.9045159816741943
107,0.029250919117647045,-0.007901246950495988,0.8460415937006474,4.273908123373985,2.9574475288391113
108,-0.00945778145695339,-0.006525028729811311,0.6948543381877244,4.258105099201202,2.9517061710357666
109,0.09914215686274461,0.001748124574078247,1.8783856723457575,4.246785759925842,3.009709358215332
110,0.08399003623188392,0.004499313305132091,1.3088520802557468,4.235558450222015,3.101093053817749
111,0.07755681818181814,0.011128906800877303,1.4499957766383886,4.236154660582542,3.072028875350952
112,0.08136160714285708,-0.0023496487410739064,1.7200324945151806,4.245616391301155,3.121218204498291
113,0.08720047923322674,-0.0068231753539294004,1.260098334401846,4.222739964723587,3.1632344722747803
114,0.18113162878787817,0.0066110725165344775,2.7503909543156624,4.225012436509132,2.970134735107422
115,-0.021651146131804938,-0.011062271194532514,0.5363718289881945,4.234925642609596,3.184081554412842
116,0.07641129032258084,0.006603166344575584,1.2394391242414713,4.2402355670928955,3.072242259979248
117,0.09654088050314424,0.001998254796490073,2.085420250892639,4.245003044605255,3.0182912349700928
118,0.12664249146757625,-0.007070205901982263,1.6690564788877964,4.2496747225522995,2.9641356468200684
119,0.12579479768786045,0.004018898936919868,1.6142424624413252,4.253126621246338,3.0631020069122314
120,0.12154850746268579,0.008717184071429074,1.6383991334587336,4.251440227031708,3.0912466049194336
121,0.18645833333333248,0.0064141531474888325,1.3839574977755547,4.247132658958435,2.9105048179626465
122,-0.005384948096885544,-0.011328029097057879,1.2758223004639149,4.246137499809265,2.9402716159820557
123,0.18828413284132747,0.011993852793239057,1.9826667215675116,4.244476929306984,2.9039642810821533
124,0.2823138297872334,0.004661373910494149,6.1603396981954575,4.237556755542755,2.88912296295166
125,0.19667721518987283,0.022914459521416575,5.913690011948347,4.2263340055942535,3.017080307006836
126,0.15022241992882518,0.009705855743959546,3.7788921371102333,4.201585128903389,2.8799989223480225
127,0.21837774294670764,0.054028761689551175,7.494266912341118,4.182339549064636,3.129981756210327
128,0.2156565656565651,0.1260078647173941,5.885060578584671,4.162977695465088,2.9170830249786377
129,0.1731643356643349,-0.0022446412476710975,3.6707022339105606,4.154886975884438,2.8312718868255615
130,0.1926506514657971,0.0022548986598849297,3.454026337713003,4.160850808024406,3.089611768722534
131,0.17901785714285634,-0.005977620312478393,5.289835210889578,4.172292321920395,3.149506092071533
132,0.2753753753753752,0.027487886254675686,7.832992851734161,4.169711083173752,3.1703686714172363
133,-0.03241782006920393,0.030469559133052826,2.6035253359004855,4.166398450732231,3.0989367961883545
134,0.29354011194029817,0.002998089825268835,6.002112872898579,4.171814516186714,3.022144079208374
135,0.09324204946996376,0.012410757859470323,3.2683519069105387,4.171970441937447,2.968203544616699
136,0.1748842592592581,0.02370844263350591,3.2100596837699413,4.159664437174797,3.0742177963256836
137,0.10226537216828456,0.001985846320167184,3.8083489425480366,4.154275938868523,3.2018625736236572
138,0.166017025089605,-0.006042592867743224,2.347949966788292,4.161064639687538,3.2221179008483887
139,0.20474290780141752,0.0025370417279191315,2.6566567793488503,4.186182916164398,3.2619833946228027
140,0.13997440273037468,0.00012952712131664157,7.367723036557436,4.205765336751938,3.131516695022583
141,0.1993841240875905,0.029042242094874382,3.7216083481907845,4.226134732365608,3.129795789718628
142,0.20737704918032698,0.013717701367568225,5.939334027469158,4.220310807228088,3.1797890663146973
143,0.1580705705705698,0.03463300509611145,2.5442187152802944,4.1919117122888565,3.206557273864746
144,0.1400488826815635,0.00710906449239701,1.7804575972259045,4.1667580008506775,3.2800493240356445
145,0.24427966101694806,0.010664522764272988,6.688146363943815,4.163508027791977,3.146604537963867
146,0.2280057251908386,0.0013033690629526973,4.4028869196772575,4.1587774604558945,3.1405742168426514
147,0.3025524809160307,0.0021385856671258807,4.635841336101294,4.154173821210861,3.154020071029663
148,0.25640967153284566,0.0037784299929626286,10.01255801320076,4.156514912843704,3.0877065658569336
149,0.14269600591715906,0.012176111049484462,8.344241708517075,4.162345066666603,3.073533773422241
150,0.13266065830720905,0.018115264596417546,5.230842757970095,4.173406898975372,3.0111382007598877
151,0.24901202749140813,0.003538880730047822,6.973354257643223,4.182467624545097,2.9657821655273438
152,0.05400985663082432,0.0011564698652364314,4.823298491537571,4.187022432684898,2.8875980377197266
153,0.06595179738561988,0.0008831918821670115,3.5540603026747704,4.185332372784615,2.8676199913024902
154,0.19736159169550085,-0.0021961351158097386,6.869323663413525,4.181897148489952,2.8532352447509766
155,0.13515886287625345,-0.0044514769688248634,3.3356442600488663,4.190398991107941,2.8338541984558105
156,0.14708207831325232,0.00450253434246406,2.058450313284993,4.19150248169899,3.020716667175293
157,0.2145973154362405,0.0033688325784169137,9.181249186396599,4.19294311106205,3.0117697715759277
158,0.26877185314685265,0.001123096648370847,7.1791445426642895,4.179545447230339,2.8368303775787354
